date,L,Lvt,Ldd,dd,core,vol,ym
2025-12-10,1.8962793986217223,1.8962793986217223,1.0,0.0,0.005364048697705126,0.1476575657593038,2025-12
2025-12-11,1.8818777222838845,1.8818777222838845,1.0,0.0,-0.00045376849371209227,0.14878756291359166,2025-12
2025-12-12,1.8816002822249516,1.8816002822249516,1.0,-0.0010289125579395764,-0.01493534903857252,0.14880950148928873,2025-12
2025-12-15,1.9550703168270132,1.9550703168270132,1.0,-0.02927709536887768,-0.003264796451829588,0.14321735519693574,2025-12
2025-12-16,1.9460873573397734,1.9460873573397734,1.0,-0.035657079161505734,-0.0003748813562441944,0.1438784332799681,2025-12
2025-12-17,2.0,2.0,1.0,-0.036541639690995886,-0.014770257065123027,0.139635263368408,2025-12
2025-12-18,1.9286231400284917,1.9286231400284917,1.0,-0.06519385737068495,0.011020530462820144,0.1451812923886538,2025-12
2025-12-19,1.8775645114681638,1.8775645114681638,1.0,-0.0454973055049791,0.01103581432357359,0.14912936322015038,2025-12
2025-12-22,2.0,2.0,1.0,-0.025885774925722416,0.005508677138904128,0.13211006760019314,2025-12
2025-12-23,2.0,2.0,1.0,-0.015346890032985616,0.004627167827272904,0.13056661997965707,2025-12
2025-12-24,2.0,2.0,1.0,-0.006429947330607422,0.0032207669424241248,0.11286676630761373,2025-12
2025-12-26,2.0,2.0,1.0,-0.0002269690845791983,-8.220581707168995e-05,0.110654092752368,2025-12
2025-12-29,2.0,2.0,1.0,-0.0005897110672287154,-0.0042024929758945895,0.1079632699760448,2025-12
2025-12-30,2.0,2.0,1.0,-0.009188036198030769,-0.0017695996809323766,0.10707082436020122,2025-12
2025-12-31,2.0,2.0,1.0,-0.012891306943404235,-0.007837636904496459,0.10617692455511019,2025-12
2026-01-02,2.0,2.0,1.0,-0.02856036088571945,-5.2016176210423204e-05,0.1087567324436751,2026-01
2026-01-05,2.0,2.0,1.0,-0.02885416799675311,0.007302025238457133,0.1081343473071871,2026-01
2026-01-06,2.0,2.0,1.0,-0.014864192910812868,0.007366161322417075,0.11147256041933898,2026-01
2026-01-07,2.0,2.0,1.0,-0.0005463178055834517,-0.0011300945015063624,0.11405508715036088,2026-01
2026-01-08,2.0,2.0,1.0,-0.003003576329122626,-0.002894891174382408,0.11372952962039032,2026-01
2026-01-09,2.0,2.0,1.0,-0.008973785375402166,0.008286249134111023,0.11430841438890242,2026-01
2026-01-12,2.0,2.0,1.0,0.0,0.0011998549905399836,0.11651416923254757,2026-01
2026-01-13,2.0,2.0,1.0,0.0,-0.0017412072164455505,0.11651449535701397,2026-01
