date,nav,applied_ret,net_raw,lev,base_lev,kill,dd3,tvol,mkt_beta,gap_est,secmax
2017-04-28,102.66,0.02661144692521981,0.02661144692521981,1.0,1.0,,0.0,,-0.14,0.0101,0.26
2017-05-31,101.42,-0.012092242192752168,-0.012092242192752168,1.0,1.0,,0.0,,-0.14,0.0101,0.18
2017-06-30,103.03,0.015913720766821397,0.015913720766821397,1.0,1.0,,0.0,,-0.14,0.0101,0.18
2017-07-31,104.01,0.009507070737136093,0.009507070737136093,1.0,1.0,,0.0303,,-0.14,0.0101,0.18
2017-08-31,103.84,-0.0016465039092579874,-0.0016465039092579874,1.0,1.0,,0.0132,,-0.14,0.0101,0.17
2017-09-29,106.51,0.025727375246357313,0.025727375246357313,1.0,1.0,,0.0239,,-0.14,0.0101,0.16
2017-10-31,104.24,-0.021374045557654757,-0.009097767864202811,2.35,2.35,,0.0338,0.053,-0.14,0.0238,0.17
2017-11-30,102.86,-0.013188123038350624,-0.006771512309529178,1.95,1.95,,0.0022,0.064,-0.14,0.0197,0.17
2017-12-29,108.95,0.05921778093061439,0.030291557219712578,1.95,1.95,,-0.0094,0.064,-0.14,0.0198,0.17
2018-01-31,111.73,0.025467806449584855,0.017866300179006676,1.43,1.43,,0.0229,0.088,-0.14,0.0144,0.15
2018-02-28,115.44,0.03318992683395279,0.022416864510583487,1.48,1.48,,0.0719,0.084,-0.14,0.015,0.16
2018-03-29,117.89,0.021262031270793905,0.014162311731272307,1.5,1.5,,0.1222,0.083,-0.14,0.0152,0.17
2018-04-30,125.64,0.06571433259675596,0.04193877913212582,1.57,1.57,,0.082,0.08,-0.14,0.0158,0.17
2018-05-31,121.9,-0.029763103294109635,-0.022544346560368255,1.32,1.32,,0.1245,0.095,-0.14,0.0133,0.17
2018-06-29,120.05,-0.015139505647250511,-0.012357724228696495,1.23,1.23,,0.056,0.102,-0.14,0.0124,0.19
2018-07-31,124.2,0.03455848965956528,0.02947926610980804,1.17,1.17,,0.0183,0.107,-0.14,0.0119,0.18
2018-08-31,125.88,0.013524608882680995,0.011749538917326626,1.15,1.15,,-0.0114,0.109,-0.14,0.0116,0.17
2018-09-28,125.53,-0.002785843989205842,-0.002385902644585243,1.17,1.17,,0.0327,0.107,-0.14,0.0118,0.19
2018-10-31,118.68,-0.05455213926060196,-0.047217610026987086,1.16,1.16,,0.0456,0.108,-0.14,0.0117,0.18
2018-11-30,120.42,0.014598958454286506,0.014485719981256856,1.01,1.01,,-0.0444,0.124,-0.14,0.0102,0.19
2018-12-31,115.12,-0.043988199965255194,-0.04261024836470549,1.03,1.03,,-0.0434,0.121,-0.14,0.0104,0.19
2019-01-31,115.84,0.006256159794008516,0.006146105594923029,1.02,1.02,,-0.0829,0.123,-0.14,0.0103,0.18
2019-02-28,116.8,0.008299239947981771,0.00802200930360322,1.03,1.03,,-0.024,0.121,-0.14,0.0105,0.19
2019-03-29,113.41,-0.029004060384943794,-0.027069042571541416,1.07,1.07,,-0.03,0.117,-0.14,0.0108,0.2
2019-04-30,116.36,0.025966489548953094,0.040919762536596974,0.63,1.06,model_decay,-0.0148,0.118,-0.09,0.0064,0.2
2019-05-31,114.05,-0.019868060581404487,-0.025977937163758416,0.76,1.27,model_decay,0.0045,0.098,-0.16,0.0077,0.19
2019-06-28,116.24,0.019228292820920135,0.024592876659005156,0.78,1.3,model_decay,-0.0236,0.096,-0.19,0.0079,0.18
