asof,ticker
2016-01-29,ELV
2016-01-29,XOM
2016-01-29,COST
2016-01-29,CSCO
2016-01-29,BEN
2016-01-29,ROP
2016-01-29,PWR
2016-01-29,URI
2016-01-29,AIG
2016-01-29,MET
2016-01-29,CPGX
2016-01-29,MAC
2016-01-29,SPLS1
2016-01-29,TROW
2016-01-29,RIG
2016-01-29,AMZN
2016-01-29,MLM
2016-01-29,FDX
2016-01-29,XL1
2016-01-29,JNPR
2016-01-29,RL
2016-01-29,AN
2016-01-29,EQT
2016-01-29,ISRG
2016-01-29,PBI
2016-01-29,ETR
2016-01-29,CTRA
2016-01-29,NFX
2016-01-29,SWKS
2016-01-29,ORCL
2016-01-29,SIG
2016-01-29,MA
2016-01-29,RHT
2016-01-29,FSLR
2016-01-29,GS
2016-01-29,DHR
2016-01-29,PNW
2016-01-29,ETN
2016-01-29,OXY
2016-01-29,NAVI
2016-01-29,DOV
2016-01-29,ICE
2016-01-29,HST
2016-01-29,EXPD
2016-01-29,DUK
2016-01-29,BKNG
2016-01-29,DISCK
2016-01-29,COL
2016-01-29,SWK
2016-01-29,R
2016-01-29,CCI
2016-01-29,WEC
2016-01-29,MRO
2016-01-29,IPG
2016-01-29,HAL
2016-01-29,LUV
2016-01-29,HWM
2016-01-29,D
2016-01-29,FLIR
2016-01-29,ALXN
2016-01-29,AAP
2016-01-29,PBCT
2016-01-29,SYK
2016-01-29,RTN
2016-01-29,HON
2016-01-29,FIS
2016-01-29,V
2016-01-29,ECL
2016-01-29,LYB
2016-01-29,RVTY
2016-01-29,PRU
2016-01-29,ADBE
2016-01-29,SCG
2016-01-29,WY
2016-01-29,C
2016-01-29,HES
2016-01-29,KSS
2016-01-29,TRIP
2016-01-29,URBN
2016-01-29,JEF
2016-01-29,OKE
2016-01-29,BBWI
2016-01-29,CA1
2016-01-29,PDCO
2016-01-29,QCOM
2016-01-29,ARG
2016-01-29,FRT
2016-01-29,SNDK1
2016-01-29,BIIB
2016-01-29,BRK.B
2016-01-29,DOC
2016-01-29,ROST
2016-01-29,GWW
2016-01-29,TDC
2016-01-29,DHI
2016-01-29,PG
2016-01-29,O
2016-01-29,MO
2016-01-29,PSKY
2016-01-29,VTRS
2016-01-29,RRC
2016-01-29,CME
2016-01-29,BCR
2016-01-29,RSG
2016-01-29,TXN
2016-01-29,IP
2016-01-29,LH
2016-01-29,JNJ
2016-01-29,WELL
2016-01-29,HPE
2016-01-29,TAP
2016-01-29,TSN
2016-01-29,CHRW
2016-01-29,HAR
2016-01-29,GPC
2016-01-29,SYY
2016-01-29,PFG
2016-01-29,AVY
2016-01-29,GOOGL
2016-01-29,TFC
2016-01-29,NWSA
2016-01-29,KHC
2016-01-29,GME
2016-01-29,TPR
2016-01-29,MRK
2016-01-29,ACN
2016-01-29,TRV
2016-01-29,K
2016-01-29,RTX
2016-01-29,ALLE
2016-01-29,SHW
2016-01-29,F
2016-01-29,PSX
2016-01-29,FAST
2016-01-29,APD
2016-01-29,PH
2016-01-29,AEP
2016-01-29,INTC
2016-01-29,ITW
2016-01-29,ES
2016-01-29,DRI
2016-01-29,MU
2016-01-29,EOG
2016-01-29,QRVO
2016-01-29,ADM
2016-01-29,ILMN
2016-01-29,TE1
2016-01-29,LEN
2016-01-29,PPG
2016-01-29,PNR
2016-01-29,CHKAQ
2016-01-29,KO
2016-01-29,META
2016-01-29,XEC
2016-01-29,CPB
2016-01-29,WBA
2016-01-29,NEM
2016-01-29,GOOG
2016-01-29,ATVI
2016-01-29,MUR
2016-01-29,WMB
2016-01-29,JPM
2016-01-29,WAT
2016-01-29,DFS
2016-01-29,WYNN
2016-01-29,HUM
2016-01-29,TJX
2016-01-29,CFG
2016-01-29,HOG
2016-01-29,ZTS
2016-01-29,NWS
2016-01-29,AVGO
2016-01-29,ESRX
2016-01-29,SCHW
2016-01-29,JBHT
2016-01-29,VRSN
2016-01-29,CNX
2016-01-29,DD
2016-01-29,OMC
2016-01-29,MJN
2016-01-29,NDAQ
2016-01-29,AON
2016-01-29,POM1
2016-01-29,STZ
2016-01-29,LUMN
2016-01-29,MDT
2016-01-29,MPC
2016-01-29,PEP
2016-01-29,DNB3
2016-01-29,FE
2016-01-29,PXD
2016-01-29,BSX
2016-01-29,NVDA
2016-01-29,TMO
2016-01-29,GIS
2016-01-29,CMS
2016-01-29,HIG
2016-01-29,CMCSA
2016-01-29,HCA
2016-01-29,FISV
2016-01-29,AXP
2016-01-29,KIM
2016-01-29,LRCX
2016-01-29,LEG
2016-01-29,GRMN
2016-01-29,T
2016-01-29,EA
2016-01-29,SRCL
2016-01-29,WHR
2016-01-29,PLD
2016-01-29,NRG
2016-01-29,TGNA
2016-01-29,CI
2016-01-29,NTAP
2016-01-29,AMP
2016-01-29,NOC
2016-01-29,CF
2016-01-29,RAI
2016-01-29,CB
2016-01-29,MS
2016-01-29,VTR
2016-01-29,GD
2016-01-29,TWX
2016-01-29,TFCF
2016-01-29,AME
2016-01-29,APC1
2016-01-29,DE
2016-01-29,UNM
2016-01-29,A
2016-01-29,STI1
2016-01-29,BMY
2016-01-29,EFX
2016-01-29,UAA
2016-01-29,PSA
2016-01-29,TT
2016-01-29,FTRCQ
2016-01-29,ESS
2016-01-29,CMI
2016-01-29,AMT
2016-01-29,DIS
2016-01-29,ADI
2016-01-29,MCK
2016-01-29,CRM
2016-01-29,ROK
2016-01-29,CINF
2016-01-29,J
2016-01-29,CHD
2016-01-29,CVX
2016-01-29,JWN
2016-01-29,NTRS
2016-01-29,VALPQ
2016-01-29,BLK
2016-01-29,AIZ
2016-01-29,CAM2
2016-01-29,EXPE
2016-01-29,LM
2016-01-29,PHM
2016-01-29,L
2016-01-29,BA
2016-01-29,CTXS
2016-01-29,CVC
2016-01-29,LHX
2016-01-29,UHS
2016-01-29,EBAY
2016-01-29,LNC
2016-01-29,COF
2016-01-29,GT
2016-01-29,AEE
2016-01-29,NLSN
2016-01-29,WU
2016-01-29,YHOO
2016-01-29,CCL
2016-01-29,KLAC
2016-01-29,EL
2016-01-29,AMGN
2016-01-29,USB
2016-01-29,EQIX
2016-01-29,AIV
2016-01-29,GL
2016-01-29,VLO
2016-01-29,PVH
2016-01-29,VIAB
2016-01-29,ENDPQ
2016-01-29,LOW
2016-01-29,CLX
2016-01-29,NI
2016-01-29,WMT
2016-01-29,BF.B
2016-01-29,PPL
2016-01-29,LLY
2016-01-29,CTSH
2016-01-29,PX1
2016-01-29,MHK
2016-01-29,UPS
2016-01-29,CTAS
2016-01-29,BDX
2016-01-29,IBM
2016-01-29,PCG
2016-01-29,TGT
2016-01-29,XYL
2016-01-29,EXC
2016-01-29,AGN
2016-01-29,YUM
2016-01-29,CMA
2016-01-29,NWL
2016-01-29,SPGI
2016-01-29,FCX
2016-01-29,AET
2016-01-29,BBBYQ
2016-01-29,VMC
2016-01-29,INTU
2016-01-29,PEG
2016-01-29,BXLT
