date,nav
2024-12-04,100000000.0
2024-12-05,99611415.08796772
2024-12-06,100368605.85585378
2024-12-09,99537852.74209413
2024-12-10,99105032.6792646
2024-12-11,100803166.36915119
2024-12-12,99982827.97001408
2024-12-13,100323638.64757572
2024-12-16,101503751.96468258
2024-12-17,100949214.41309021
2024-12-18,96567116.2051987
2024-12-19,96228238.23236683
2024-12-20,97503401.72619598
2024-12-23,98511099.25850628
2024-12-24,100107262.66545431
2024-12-26,100020842.1606301
2024-12-27,98476927.43923032
2024-12-30,96871967.30656609
2024-12-31,96198322.69862132
2025-01-02,96024367.2116765
2025-01-03,97778007.46667098
2025-01-06,98795135.49006136
2025-01-07,96996139.46631317
2025-01-08,97177523.7670416
2025-01-10,95406125.89300843
2025-01-13,95342783.15563124
2025-01-14,95248798.506638
2025-01-15,97758347.25414693
2025-01-16,97214157.52141662
2025-01-17,98845793.8421261
2025-01-21,99555461.97543381
2025-01-22,100749203.30215603
2025-01-23,101267721.51256013
2025-01-24,100591584.1549069
2025-01-27,97706012.41264115
2025-01-28,99259865.41672617
2025-01-29,98837707.67431481
2025-01-30,99475471.11279626
2025-01-31,99054369.00726819
2025-02-03,98143741.92409794
2025-02-04,99256600.77558772
2025-02-05,99752460.45304635
2025-02-06,100319733.28457713
2025-02-07,98976253.42077395
2025-02-10,100294827.07696499
2025-02-11,100188424.24390514
2025-02-12,100045449.67048678
2025-02-13,101583057.89693321
2025-02-14,101689113.10204943
2025-02-18,102248667.10784318
2025-02-19,102337362.5112975
2025-02-20,101694158.02553713
2025-02-21,99070330.81746314
2025-02-24,98000767.50202763
2025-02-25,96743278.57143019
2025-02-26,96920832.29398564
2025-02-27,94193708.72292338
2025-02-28,96032969.0149357
2025-03-03,93517924.6962912
2025-03-04,92515236.49927685
2025-03-05,93893834.30767985
2025-03-06,91104822.10296889
2025-03-07,91871344.5114005
2025-03-10,87772987.0935656
2025-03-11,87234051.94784564
2025-03-12,88178257.36520775
2025-03-13,86619501.58732067
2025-03-14,88904275.53097244
2025-03-17,89615537.36671752
2025-03-18,88354563.77564558
2025-03-19,89464855.69408478
2025-03-20,89143709.13432947
2025-03-21,89297757.80116546
2025-03-24,91133487.9118746
2025-03-25,91510408.35461226
2025-03-26,90168652.18688007
2025-03-27,89850398.06048267
2025-03-28,87719257.43674982
2025-03-31,87968129.20902506
2025-04-01,88475639.0959141
2025-04-02,89043952.76354079
2025-04-03,84235246.29475246
2025-04-04,79820452.61754112
2025-04-07,79814204.46895207
2025-04-08,79126075.3933062
2025-04-09,83800183.22601473
2025-04-10,82130389.83749458
2025-04-11,82820326.25605498
2025-04-14,83066512.9785731
2025-04-15,83103236.88913609
2025-04-16,82215053.23685737
2025-04-17,82234079.40317571
2025-04-21,81376244.16111898
2025-04-22,82100036.56253238
2025-04-23,82753177.23110272
2025-04-24,83649740.11523707
2025-04-25,84033866.05355616
2025-04-28,83977884.51244067
2025-04-29,84176114.42973578
2025-04-30,84193096.153846
2025-05-01,84468846.6534028
2025-05-02,84983014.64461735
2025-05-05,84801562.62126498
2025-05-06,84571749.73192553
2025-05-07,84700675.70896053
2025-05-08,85024482.67420234
2025-05-09,85009307.09598523
2025-05-12,88341626.61511408
2025-05-13,89291132.43227604
2025-05-14,89567559.34197664
2025-05-15,89880496.5219928
2025-05-16,90389627.17203286
2025-05-19,90504883.60198689
2025-05-20,90137864.2840484
2025-05-21,88347370.01352549
2025-05-22,88441279.0032733
2025-05-23,87600578.9531813
2025-05-27,90031704.16133939
2025-05-28,89416306.74891666
2025-05-29,89767105.04162718
2025-05-30,89583947.63519001
2025-06-02,90429092.46044092
2025-06-03,91163408.41514972
2025-06-04,91372409.52233978
2025-06-05,90617802.40378006
2025-06-06,91730602.25443676
2025-06-09,91867097.97005598
2025-06-10,92584198.55200595
2025-06-11,92291405.42711282
2025-06-12,92726214.81567602
2025-06-13,91358818.48771498
2025-06-16,92683357.87693526
2025-06-17,91605339.66793889
2025-06-18,91578874.45971616
2025-06-20,91206372.72004539
2025-06-23,92360200.04663715
2025-06-24,93951866.32368983
2025-06-25,94141572.19854258
2025-06-26,95235608.89909726
2025-06-27,95726519.40242295
2025-06-30,96422255.104653
2025-07-01,95887319.58913654
2025-07-02,96621227.301179
2025-07-03,97676595.95689626
2025-07-07,96689783.74933913
2025-07-08,96693778.94808505
2025-07-09,97519831.914906
2025-07-10,97574823.42302035
2025-07-11,97224996.23878613
2025-07-14,97537212.71026358
2025-07-15,97257694.90860209
2025-07-16,97582946.77982248
2025-07-17,98458857.31240611
2025-07-18,98384466.9918415
2025-07-21,98877531.62696365
2025-07-22,98586353.64291953
2025-07-23,99433595.5625835
2025-07-24,99552435.21214956
2025-07-25,99953392.82912008
2025-07-28,100064488.1124811
2025-07-29,99777355.00873111
2025-07-30,99675455.01262692
2025-07-31,99080299.7181653
2025-08-01,96687945.32099137
2025-08-04,98862380.71926147
2025-08-05,98100809.27082808
2025-08-06,99375756.87278691
2025-08-07,99592660.40818335
2025-08-08,100671583.51761848
2025-08-11,100328698.44399272
2025-08-12,101922078.11300288
2025-08-13,102250960.06827497
2025-08-14,102144885.94420002
2025-08-15,101667972.78023472
2025-08-18,101643003.72845702
2025-08-19,100321539.28303938
2025-08-20,99745938.21192412
2025-08-21,99188018.78289872
2025-08-22,101339675.37266053
2025-08-25,100790698.26086958
2025-08-26,101291816.1557414
2025-08-27,101523805.8248766
2025-08-28,102202312.94221266
2025-08-29,100968683.89512067
2025-09-02,99984635.70248526
2025-09-03,100880767.69013178
2025-09-04,102084532.43485248
2025-09-05,102033787.01562491
2025-09-08,102629956.74828112
2025-09-09,102975304.02661803
2025-09-10,103253310.95520023
2025-09-11,104290542.48409456
2025-09-12,104547373.0640064
2025-09-15,105591765.18619914
2025-09-16,105404143.85484353
2025-09-17,105154317.22476856
2025-09-18,106109742.87637684
2025-09-19,106899613.21122827
2025-09-22,107681392.32536575
2025-09-23,106860431.22628891
2025-09-24,106372040.83282779
2025-09-25,105752007.98807499
2025-09-26,106441399.48548386
2025-09-29,107002609.04834127
2025-09-30,107455041.28748156
2025-10-01,108067031.73648556
2025-10-02,108444142.53589343
2025-10-03,108208130.45550005
2025-10-06,109282491.84913287
2025-10-07,108683141.6845805
2025-10-08,110089824.74664012
2025-10-09,109601205.26760873
2025-10-10,104688972.29536627
2025-10-13,107576916.02683307
2025-10-14,107050324.68358853
2025-10-15,107934789.26180623
2025-10-16,107305631.47525437
2025-10-17,108043356.25289862
2025-10-20,109894173.83477655
2025-10-21,109710460.9390481
2025-10-22,108617487.56120354
2025-10-23,109618270.90905121
2025-10-24,110995881.34353037
2025-10-27,113122397.27193159
2025-10-28,113805508.73426624
2025-10-29,114097513.1491735
2025-10-30,112193959.13072167
2025-10-31,112740446.34940863
2025-11-03,113239519.49569811
2025-11-04,110681829.52269149
2025-11-05,111465022.47916403
2025-11-06,109298396.02070971
2025-11-07,109186401.21828182
2025-11-10,111989524.97367401
2025-11-11,112059561.48987281
2025-11-12,112186083.52740607
2025-11-13,109349273.6158416
2025-11-14,109272384.92615137
2025-11-17,107984610.56640324
2025-11-18,106547815.35199703
2025-11-19,107302652.67067818
2025-11-20,104637313.53993858
2025-11-21,105772090.86841418
2025-11-24,108608205.53319415
2025-11-25,109716783.47519325
2025-11-26,110899937.68966712
2025-11-28,111838157.43070112
2025-12-01,111124476.5186815
2025-12-02,111847246.050102
2025-12-03,112270640.41650742
2025-12-04,112182526.72209276
2025-12-05,112612258.08425413
2025-12-08,112237578.08506992
2025-12-09,112354466.15149848
2025-12-10,113177691.33264357
2025-12-11,113155470.01580341
2025-12-12,110956102.51334465
2025-12-15,110461852.01146783
2025-12-16,110348143.96544245
2025-12-17,108295181.67900832
2025-12-18,109830239.95262805
2025-12-19,111573197.77316353
2025-12-22,112410693.02980947
2025-12-23,113098755.90837295
2025-12-24,113536507.30493155
2025-12-26,113624860.14087154
2025-12-29,112805189.05599336
2025-12-30,112557919.48671266
2025-12-31,111375689.33043154
2026-01-02,111412493.56482369
2026-01-05,112564957.03637084
2026-01-06,113660389.25590938
2026-01-07,113421046.01696168
2026-01-08,112962763.83761087
2026-01-09,114278579.69391456
2026-01-12,114654322.65933695
2026-01-13,114366278.26765694
2026-01-14,113278948.44774912
2026-01-15,113696602.55223386
2026-01-16,113477026.05465566
2026-01-20,110487403.11155608
2026-01-21,112490959.19556761
2026-01-22,113550778.0944406
2026-01-23,113720940.70746213
2026-01-26,114363634.0178003
2026-01-27,115639117.04448667
2026-01-28,115982207.79095167
2026-01-29,115452590.97365418
2026-01-30,113765691.79334159
2026-02-02,114544487.98324838
2026-02-03,113108739.21783167
2026-02-04,111536144.27785501
2026-02-05,109344561.14083605
2026-02-06,112685346.96471404
2026-02-09,113830313.3563166
2026-02-10,113236920.43258797
2026-02-11,113465525.00314574
2026-02-12,110606114.45050353
2026-02-13,110917745.99801984
2026-02-17,110840112.52509992
2026-02-18,111918204.97408602
2026-02-19,111480322.22938916
2026-02-20,112810424.79272151
2026-02-23,111181476.79418212
2026-02-24,112534828.79368038
2026-02-25,114284415.17400374
2026-02-26,112947333.91138452
2026-02-27,112486317.26178926
2026-03-02,112515564.03313406
2026-03-03,110582733.51453395
2026-03-04,112304027.8128844
2026-03-05,111481563.91999875
2026-03-06,109781098.91796464
2026-03-09,111351683.2496617
2026-03-10,111261843.0440579
2026-03-11,111132513.68264502
2026-03-12,108836758.49616103
2026-03-13,107896818.58785008
2026-03-16,109443767.02478772
2026-03-17,110091736.70443463
2026-03-18,107986612.7985436
2026-03-19,107290628.41385876
2026-03-20,104808093.57807559
2026-03-23,106130665.58589032
2026-03-24,105518230.87924905
2026-03-25,106433076.5756648
2026-03-26,103566216.31261115
2026-03-27,101334273.13328394
2026-03-30,100665949.42003946
