name,n,ic,icir,ic_pos,gross_ls,net_ls,act_cw,act_ew,net_cw,turnover,rec_icir,rec_net,verdict,kills
B2_value,125,0.0015,0.011,0.464,-0.0156,-0.0177,-0.0141,0.0104,-0.0153,1.157,0.206,0.0102,DEAD,net≤0;IC-IR<0.2
B3_quality,122,0.0207,0.22,0.59,0.0462,0.0441,-0.0115,0.0179,-0.0125,0.992,0.046,-0.0461,SURVIVE,
B4_momentum,113,0.014,0.098,0.584,0.0824,0.0763,0.0086,0.0417,0.0056,3.009,0.096,-0.0204,DEAD,IC-IR<0.2
B5_lowvol,119,0.0226,0.117,0.521,-0.0478,-0.0511,-0.0527,-0.0246,-0.0541,1.419,0.243,-0.0406,DEAD,net≤0;IC-IR<0.2;소형집중
broad_quality_quarantine,122,0.0207,0.22,0.59,0.0462,0.0441,-0.0115,0.0179,-0.0125,0.992,0.046,-0.0461,FAIL,long-only active≤0(vs CW)
phase1b_blend,113,0.0256,0.2,0.619,0.0318,0.027,-0.022,0.0113,-0.0244,2.382,0.306,-0.0092,FAIL,net active vs CW≤0;2016-20에만 집중;sector중립화후 net≤0;long-only vs CW 음수
broad_event,111,0.0061,0.083,0.577,0.0346,0.0293,-0.0034,0.0266,-0.0061,2.673,0.219,0.0049,FAIL,net active vs CW≤0;2x cost net≤0;long-only vs CW 음수;sector중립화후 net≤0
sm_quality,122,0.0145,0.157,0.582,0.0405,0.0256,0.0132,0.0142,0.0066,1.37,0.047,-0.0292,FAIL,IC-IR<0.20;2021-26 사망;최저유동성에만 존재
sm_event,110,0.0102,0.164,0.609,0.0709,0.04,0.034,0.0391,0.0185,3.213,0.301,0.0366,FAIL,IC-IR<0.20;turnover>300%&net약
sm_blend,125,0.0415,0.335,0.608,0.0641,0.0357,0.0366,0.0376,0.022,3.037,0.501,0.0567,FAIL,최저유동성에만 존재
